fecha,autor,titulo,texto,enlace,fuente_original,enlace_original
2023-02-23,Cynthia López Cabán,Wanda Vázquez no acudirá a vista en la Cámara de Representantes,"La exgobernadora Wanda Vázquez Garced no se presentará esta tarde ante la Comisión de lo Jurídico de la Cámara de Representantes. A inicios de semana, el presidente de la Comisión, Orlando Aponte Rosario, envió un correo electrónico a Vázquez Garced citándola para que comparezca ante el cuerpo a responder preguntas sobre una alegada intervención indebida en la pesquisa sobre el asesinato del trapero Kevin Fret. Pero en una carta de tres páginas enviada hoy al representante Aponte Rosario, Vázquez Garced cuestionó la citación y el alcance de la investigación legislativa en momento en que otros foros como el Panel sobre el Fiscal Especial Independiente (PFEI) investigan las denuncias de la fiscal Betzaida Quiñones Rodríguez. “Por su lenguaje, tomamos la misma como una invitación a comparecer y deponer sobre el asunto mencionado (la resolución de la Cámara 269)”, afirmó Vázquez Garced al inicio de la comunicación. “[S]i las comunicaciones que se citan en la carta que nos fuera enviada, se relacionan a las vertidas por la fiscal Betzaida Quiñones en los medios de prensa, este asunto se encuentra ante la consideración del Panel del Fiscal Especial Independiente el cual ha este momento no ha emitido una resolución final. De igual manera están en el récord público mis expresiones del 7 de noviembre sobre esas expresiones”, añadió. El 7 de noviembre Vázquez Garced emitió expresiones escritas asegurando que las alegaciones de la fiscal Quiñones Rodríguez eran “totalmente falsas y difamatorias. Y ella lo sabe”. “Como cuestión de umbral, el mismo Secretario de Justicia actual, ha negado acceso al expediente del mencionado caso por estar aún pendiente la conclusión de la investigación de esos hechos, en un claro planteamiento de privilegio de información oficial, según contenido en nuestras Reglas de Evidencia y como principio ético. Dicho privilegio cobija cualquier información de materia privilegiada que hubiera recibido, si alguna, en su carácter oficial cualquier funcionario público incluyendo al secretario de Justicia. Solo el Estado, entiéndase el propio Departamento de Justicia, en este caso, podría renunciar a ese privilegio”, apuntaló la exgobernadora. Ayer, el representante Aponte Rosario adelantó que acudirá al tribunal para ordenarle testificar ante el cuerpo que preside. La citación ocurre en momentos en que Vázquez Garced enfrenta cargos federales por supuestamente participar en un esquema de soborno mediante el cual recibió apoyo para su campaña primarista a cambio de destituir al entonces comisionado de Instituciones Financieras, George Joyner, para descarrilar una investigación de Bancrédito. La Comisión de lo Jurídico inició la investigación luego de que la fiscal Quiñones Rodríguez denunció el año pasado que la entonces jefa de Fiscales, Olga Castellón Miranda, y Vázquez Garced, quien en ese momento ocupaba el cargo de secretaria de Justicia, le ordenaron detener la pesquisa del asesinato de Fret en abril del 2019. Tras la denuncia, el caso pasó de la División de Homicidios del Cuerpo de Investigaciones Criminales de San Juan a la División de Crímenes Mayores de la superintendencia. El Departamento de Justicia también inició una investigación, que eventualmente refirió al PFEI, quien designó a la exjueza Crisanta González Seda para completar la investigación preliminar. Actualmente, la Comisión de lo Jurídico de la Cámara evalúa si debe extender algún tipo de inmunidad a la fiscal para que declare libremente sobre las supuestas prácticas antiéticas o ilegales cometidas por funcionarios del Departamento de Justicia. La fiscal Quiñones Rodríguez también enfrenta una querella ética por divulgar información relacionada a la pesquisa. Mira el documento aquí: ",https://jayfonseca.com/wanda-vazquez-no-acudira-a-vista-en-la-camara-de-representantes/,carta de Wanda Vázquez Garced a Comisión de lo Jurídico,https://jayfonseca.com/wp-content/uploads/2023/02/Carta-WVG.pdf
2023-02-23,Jagual Media,Buscan operador privado para un puerto espacial en Ceiba,Puerto Rico no cuenta  con una licencia de la Agencia Federal de Aviación que viabilizaría un puerto espacial en los terrenos de la antigua Base Naval Roosevelt Roads en Ceiba pero la Autoridad de los Puertos comenzó formalmente la búsqueda de un operador para este puerto de lanzamientos horizontales.,https://jayfonseca.com/buscan-operador-privado-para-un-puerto-espacial-en-ceiba/,El Nuevo Día,https://www.elnuevodia.com/negocios/construccion/notas/buscan-operador-privado-para-un-puerto-espacial-en-roosevelt-roads/
2023-02-23,Jagual Media,Sin utilizar todo el presupuesto de reconstrucción por parte de Luma Energy,"El reciente informe de gastos de LUMA Energy para el trimestre octubre-diciembre 2022, refleja que a pesar de que el consorcio tiene un presupuesto de $144 millones en fondos federales para obras capitales y de reconstrucción, apenas usó $55.8 millones en el trimestre, que representa el 38.7% de los fondos disponibles.",https://jayfonseca.com/sin-utilizar-todo-el-presupuesto-de-reconstruccion-por-parte-de-luma-energy/,El Vocero,https://www.elvocero.com/gobierno/agencias/luma-reporta-subutilizaci-n-de-fondos-federales-para-reconstrucci-n/article_f3914602-b31c-11ed-b031-0fb33a59b09d.html
2023-02-23,Jagual Media,Sin dinero para operar los eventos electorales la CEE,"El presidente de la CEE, Francisco Rosado solicitó una asignación presupuestaria de $109 millones para el próximo año fiscal, que contemplaba $21 millones para las primarias locales y las presidenciales (demócratas y republicanas), pero solo le concedieron $33 millones. Esa cantidad, destacó, no incluyó ninguna partida para las primarias. Dijo que que esta situación impacta las elecciones generales “porque, si no hay primarias, no hay forma de saber quiénes son los candidatos”.",https://jayfonseca.com/sin-dinero-para-operar-los-eventos-electorales-la-cee/,El Nuevo Día,https://www.elnuevodia.com/noticias/politica/notas/sin-fondos-la-cee-para-los-proximos-eventos-electorales/
2023-02-23,Jagual Media,Junta Fiscal se opone a beneficio contributivo a residentes en la isla que compraron Bonos de Puerto Rico,"La Junta de Supervisión Fiscal (JSF) se opuso de manera tajante al proyecto legislativo que daría un beneficio contributivo a residentes en la isla que compraron bonos de Puerto Rico y perdieron dinero con la quiebra del gobierno. De acuerdo a la Junta, “Este proyecto busca hacer precisamente lo que la orden de confirmación prohíbe: proveer para que un grupo específico de bonistas recuperen y reciban pagos a través de un crédito contributivo que va en contra del gobierno”.",https://jayfonseca.com/junta-fiscal-se-opone-a-beneficio-contributivo-a-residentes-en-la-isla-que-compraron-bonos-de-puerto-rico/,El Nuevo Día,https://www.elnuevodia.com/negocios/economia/notas/el-alivio-a-los-bonistas-se-desinfla/
2023-02-23,Jagual Media,Poco movimiento de obreros en el puente atirantado no se ve porque están haciendo análisis forense,"El director de la Autoridad de Carreteras y Transportación (ACT),  Edwin González Montalvo dijo que no será sino hasta finales de marzo que podrá verse de forma más evidente el movimiento de obreros y maquinaria pesada trabajando en la reparación del puente atirantado de Naranjito, aunque eso no implica que no haya tareas de ingeniería llevándose a cabo allí. Dijo que se está haciendo un análisis forense.",https://jayfonseca.com/poco-movimiento-de-obreros-en-el-puente-atirantado-no-se-ve-porque-estan-haciendo-analisis-forense/,El Nuevo Día,https://www.elnuevodia.com/noticias/gobierno/notas/la-act-encamina-analisis-forense-en-torno-a-la-construccion-del-puente-atirantado-de-naranjito/
2023-02-23,Jagual Media,Citada Wanda Vázquez esta tarde a la Cámara ,Se desconoce aún si la exgobernadora Wanda Vázquez acudirá a la 1 pm a la Cámara de Representantes a la Comisión de lo Jurídico para testificar sobre las alegaciones que durante su secretaría de Justicia se detenían investigaciones incluyendo la del asesinato de Kevin Fret.,https://jayfonseca.com/citada-wanda-vazquez-esta-tarde-a-la-camara/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-23,Jagual Media,Escucha aquí el resumen de Noticias con Calle de hoy jueves 23 de febrero de 2023,No texto disponible,https://jayfonseca.com/escucha-aqui-el-resumen-de-noticias-con-calle-de-hoy-jueves-23-de-febrero-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-23,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy jueves 23 de febrero de 2023,No texto disponible,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-jueves-23-de-febrero-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-23,Jagual Media,Más de 5 años de cárcel para exrepresentante Néstor Alonso,"El exrepresentante Néstor Alonso Vega, quien fue encontrado culpable por corrupción pública, fue sentenciado este hoy a 63 meses de cárcel. Después de un juicio con jurado de seis días, el exlegislador Néstor Alonso-Vega fue declarado culpable de nueve cargos de robo de fondos federales, sobornos; y Honest Services Wire Fraud, anunció el fiscal federal W. Stephen Muldrow. El juez principal del Tribunal de Distrito de los Estados Unidos, Raúl Arias-Marxuach, presidió el juicio. El FBI estuvo a cargo de la investigación. Según los documentos judiciales y las pruebas presentadas en el juicio, entre abril de 2018 y septiembre de 2020, Néstor Alonso-Vega autorizó varios ajustes salariales para su asistente. Se acordó que su ayudante sobornaría a Alonso-Vega la mitad del importe total de la subida de sueldo, a repartir entre cada día de pago. El acusado recibió más de $40,000. Se alegó además que el asistente, que testificó durante el juicio, utilizó una variedad de medios para transferir los sobornos a Alonso-Vega. Por ejemplo, usó ATH Móvil, hizo retiros en el momento en que recibió su cheque de pago y pagó a Alonso-Vega en efectivo y, en ocasiones, hizo pagos a la cuenta de Home Depot de Alonso-Vega.",https://jayfonseca.com/mas-de-5-anos-de-carcel-para-exrepresentante-nestor-alonso/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
